library,Evaluator,question_type,question, ,t_0.2_k_20_p_0.6,t_0.4_k_40_p_0.7,t_0.6_k_60_p_0.8,t_0.8_k_80_p_0.9,t_1_k_100_p_0.95
IDR,BM,yes/no,Does p120 catenin regulate cell adhesion?,0.91,0.75,0.83,0.67,0.75,0.91
IDR,BM,data query,What signaling is affected by MSI-1436?,0.69,0.65,0.65,0.76,0.71,0.47
IDR,BM,complex question,What are the special biophysical and cellular features of how disordered proteins interact with their partners?,0.80,0.73,0.84,0.88,0.73,0.34
IDR,BM,irrelevant question,How is the binding of the LAT protein regulated?,0.00,0.00,0.00,0.00,0.00,0.00
IDR,BM,rephrased question,"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",0.98,0.98,0.98,0.98,0.91,0.98
IDR,BM,keyword,What is CALVADOS?,0.87,0.00,0.00,0.00,0.11,0.00
IDR,BM,summarization,What are the main steps to computationally generating conformational ensembles of disordered proteins?,0.88,1.00,0.88,0.88,1.00,0.88
IDR,BM,yes/no,Are compact IDRs generally longer than extended IDRs?,0.91,0.89,0.89,0.88,0.79,0.89
IDR,BM,data query,How many disordered regions were identified in the human proteome?,0.64,0.60,0.00,0.55,0.59,0.00
IDR,BM,complex question,What are the effects of the compaction of disordered proteins on their biological functions?,0.78,0.78,0.78,0.74,0.75,0.70
PTM,BM,irrelevant question,What is the compaction of human p53?,0.00,0.59,0.00,0.61,0.80,0.41
PTM,BM,rephrased question,How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?,0.78,0.78,0.84,0.78,0.77,0.71
PTM,BL,keyword,What is CoA?,0.96,0.96,0.96,0.62,0.64,0.42
PTM,BL,keyword,What is acetyl-CoA?,0.13,0.32,0.13,0.13,0.33,0.38
PTM,BL,keyword,What is succinyl-CoA?,0.64,0.64,0.64,0.64,0.64,
PTM,BL,data query,What reactions does SIRT5 catalyze?,0.89,0.89,0.99,0.99,0.89,0.89
PTM,BL,keyword,What is lysine acylation?,0.98,0.99,0.98,0.99,1.00,0.86
PTM,BL,keyword,What is lysine acetylation?,0.95,0.81,0.95,0.95,0.95,0.95
PTM,BL,data query,"Where, within cells, is succinyl-CoA found?",0.00,0.00,0.64,0.66,0.63,0.64
PTM,BL,data query,What species is succinyl-CoA found in?,0.58,0.69,0.58,0.58,0.58,0.71
PTM,BL,summarization,What processes do lysine acylations regulate?,0.89,0.89,0.96,0.89,0.58,0.89
PTM,BL,data query,"Where, within proteins, does lysine acetylation happen?",0.77,0.77,0.84,0.91,0.91,0.91
PTM,BL,yes/no,Are there lysine acylation reader domains in bacteria?,0.00,0.00,0.00,0.00,0.00,0.92
PTM,BL,data query,What lysine acylation reader domains are known in mammals?,0.73,0.75,0.72,0.72,0.00,0.70
PTM,BL,data query,"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",0.79,0.79,0.79,0.79,0.79,0.79
PTM,BL,data query,"What PTM does succinylation overlap with, and to what percentage?",0.57,0.58,0.49,0.60,0.58,0.57
PTM,BL,complex question,What evidence is there for demalonylation by SIRT5?,0.99,0.85,0.78,0.99,0.78,0.85
PTM,BL,complex question,"Is there a known ""writer"" enzyme for lysine malonylation?",0.66,0.66,0.66,0.71,0.80,0.75
PTM,BL,summarization,Whats a possible source of non-enzymatic lysine acetylation?,1.00,1.00,1.00,1.00,1.00,1.00
PTM,BL,complex question,What species does acetylphosphate-dependent lysine acetylation occur in?,0.46,0.78,0.54,0.78,0.63,0.78
PTM,BL,complex question,What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?,0.56,0.57,0.57,0.56,0.56,0.55
PTM,BL,complex question,What does alpha-ketoglutarate do in the context of lysine acylations?,0.62,0.70,0.70,0.69,0.96,0.00
