library,Evaluator,question_type,question,t_0_k_10_p_0.5,t_0.2_k_20_p_0.6,t_0.4_k_40_p_0.7,t_0.6_k_60_p_0.8,t_0.8_k_80_p_0.9,t_1_k_100_p_0.95
IDR,BM,summarization,What are the key ways in which post-translational modifications regulate disordered proteins?,0.88,0.88,0.87,0.82,0.90,0.82
IDR,BM,yes/no,Does p120 catenin regulate cell adhesion?,0.91,0.91,0.90,0.90,0.91,0.90
IDR,BM,data query,What signaling is affected by MSI-1436?,0.92,0.92,0.92,0.89,0.93,0.67
IDR,BM,complex question,What are the special biophysical and cellular features of how disordered proteins interact with their partners?,0.55,0.51,0.70,0.85,0.57,0.61
IDR,BM,irrelevant question,How is the binding of the LAT protein regulated?,0.63,0.57,0.52,0.51,0.63,0.72
IDR,BM,rephrased question,"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",0.88,0.87,0.89,0.88,0.87,0.87
IDR,BM,keyword,What is CALVADOS?,0.57,0.63,0.59,0.58,0.63,0.60
IDR,BM,summarization,What are the main steps to computationally generating conformational ensembles of disordered proteins?,0.79,0.90,0.79,0.80,0.92,0.80
IDR,BM,yes/no,Are compact IDRs generally longer than extended IDRs?,0.83,0.83,0.83,0.83,0.80,0.76
IDR,BM,data query,How many disordered regions were identified in the human proteome?,0.43,0.46,0.47,0.46,0.45,0.44
IDR,BM,complex question,What are the effects of the compaction of disordered proteins on their biological functions?,0.86,0.86,0.67,0.67,0.78,0.67
PTM,BM,irrelevant question,What is the compaction of human p53?,0.43,0.43,0.29,0.53,0.53,0.36
PTM,BM,rephrased question,How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?,0.67,0.67,0.67,0.72,0.66,0.79
PTM,BL,keyword,What is CoA?,0.92,0.92,0.92,0.93,0.93,0.93
PTM,BL,keyword,What is acetyl-CoA?,0.91,0.91,0.88,0.90,0.91,0.91
PTM,BL,keyword,What is succinyl-CoA?,0.83,0.83,0.84,0.83,0.83,0.88
PTM,BL,data query,What reactions does SIRT5 catalyze?,0.80,0.80,0.80,0.81,0.80,0.80
PTM,BL,keyword,What is lysine acylation?,0.79,0.79,0.80,0.80,0.82,0.79
PTM,BL,keyword,What is lysine acetylation?,0.75,0.76,0.76,0.77,0.77,0.79
PTM,BL,data query,"Where, within cells, is succinyl-CoA found?",0.79,0.79,0.74,0.74,0.74,0.73
PTM,BL,data query,What species is succinyl-CoA found in?,0.86,0.84,0.87,0.85,0.86,0.85
PTM,BL,summarization,What processes do lysine acylations regulate?,0.80,0.80,0.84,0.81,0.81,0.80
PTM,BL,data query,"Where, within proteins, does lysine acetylation happen?",0.71,0.72,0.72,0.78,0.74,0.73
PTM,BL,yes/no,Are there lysine acylation reader domains in bacteria?,0.76,0.76,0.87,0.90,0.89,0.86
PTM,BL,data query,What lysine acylation reader domains are known in mammals?,0.84,0.84,0.81,0.84,0.79,0.85
PTM,BL,data query,"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",0.77,0.65,0.77,0.59,0.77,0.71
PTM,BL,data query,"What PTM does succinylation overlap with, and to what percentage?",0.58,0.58,0.54,0.53,0.57,0.66
PTM,BL,complex question,What evidence is there for demalonylation by SIRT5?,0.90,0.92,0.87,0.93,0.90,0.86
PTM,BL,complex question,"Is there a known ""writer"" enzyme for lysine malonylation?",0.54,0.54,0.54,0.54,0.56,0.63
PTM,BL,summarization,Whats a possible source of non-enzymatic lysine acetylation?,0.81,0.81,0.81,0.81,0.81,0.80
PTM,BL,complex question,What species does acetylphosphate-dependent lysine acetylation occur in?,0.77,0.80,0.78,0.77,0.81,0.76
PTM,BL,complex question,What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?,0.99,0.99,0.98,0.97,0.97,0.99
PTM,BL,complex question,What does alpha-ketoglutarate do in the context of lysine acylations?,0.70,0.67,0.71,0.70,0.83,0.68
