library,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic
IDR,How many disordered regions were identified in the human proteome?,0.667410586,0.630132183,0.603292504,0.654828943,0.708936097,0.636487824
IDR,What are the effects of the compaction of disordered proteins on their biological functions?,0.985135755,0.706728685,0.771498254,0.672157653,0,0.829626023
PTM,What is the compaction of human p53?,0.473967651,0.443916697,0.608731737,0.456155129,0,0.610985704
PTM,How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?,0.87887997,0.86230733,0.386470785,0.867482364,0.674168053,0.7838858
PTM,What is CoA?,0.960287266,0.698516481,0.743308689,0.698516481,0.936586341,0.960287266
PTM,What is acetyl-CoA?,0.146007283,0.599882902,0.451358871,0.517000006,0.757217551,0.134513333
PTM,What is succinyl-CoA?,0.619231467,0.631750991,0.631750991,0.631750991,0.449970859,
PTM,What reactions does SIRT5 catalyze?,0.958289056,0.980689426,0.829822338,0.980689426,0,0.985748871
PTM,What is lysine acylation?,1,0.98278601,0.825994508,0.991393005,0.926755905,0.991393005
PTM,What is lysine acetylation?,0.780986254,0.735111386,1,0.837007457,1,0.714460158
PTM,"Where, within cells, is succinyl-CoA found?",0.696756241,0.610046181,0.696756241,0.610046181,0.174402896,0.634491366
PTM,What species is succinyl-CoA found in?,0.685326573,0.493152348,0.465958421,0.493152348,0,0.582507859
PTM,What processes do lysine acylations regulate?,0.899925824,0.832966072,0.823971403,0.875109686,0.667436445,0.592364099
PTM,"Where, within proteins, does lysine acetylation happen?",0.756551386,0.833151273,0.824887203,0.701810283,0.808031306,0.762524151
PTM,Are there lysine acylation reader domains in bacteria?,0,0.864984899,0,0,0.641990939,0.914654241
PTM,What lysine acylation reader domains are known in mammals?,0.723281227,0.730817495,0.735383179,0.754586085,0,0.994223358
PTM,"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",0.776376437,0.785617941,0.690609191,0.785617941,0,0.785617941
PTM,"What PTM does succinylation overlap with, and to what percentage?",0.374459953,0.48006823,0.524591574,0.363189646,0.362952261,0.599237457
PTM,What evidence is there for demalonylation by SIRT5?,0.33489885,0.84680909,0.762183146,0.545344558,0.550261941,0.99120831
PTM,"Is there a known ""writer"" enzyme for lysine malonylation?",0.794355535,0.977908275,0.542150063,0.951006129,0,0.661304825
PTM,Whats a possible source of non-enzymatic lysine acetylation?,,0.991113982,0.996316621,0.998491779,0.812880314,0.996316621
PTM,What species does acetylphosphate-dependent lysine acetylation occur in?,0.706544943,0.339076872,0.586984846,0.766608983,0.620819487,0.66274532
PTM,What acylation-related enzymes are used by pathogenic bacteria to attack their hosts?,0.560633503,0.732239216,0.508583457,0.760263943,0,0.572703557
PTM,What does alpha-ketoglutarate do in the context of lysine acylations?,0,0.858044326,0.489188236,0.552993412,0.621332523,0.448421287
